Date,ChatGPT,Gemini,Claude,Perplexity,SP500
2026-01-05,1000.0,1000.0,1000.0,1000.0,1000.0
2026-01-06,994.93,993.34,1000.0,1000.0,1005.95
2026-01-07,995.16,993.2,999.62,1003.95,1002.7
2026-01-08,994.73,990.88,999.25,1001.85,1002.6
2026-01-09,994.27,998.96,998.51,1008.99,1009.23
2026-01-10,939.35,995.94,917.78,1023.79,1009.23
2026-01-11,939.35,995.94,917.78,1023.79,1009.23
2026-01-12,939.35,995.94,917.78,1023.79,1010.82
2026-01-13,945.37,994.19,917.78,1023.79,1008.8
2026-01-14,956.86,993.79,915.73,1023.79,1003.84
2026-01-15,961.43,993.99,921.17,1023.79,1006.57
2026-01-16,961.43,993.99,921.17,1023.79,1005.73
2026-01-17,955.0,1028.37,915.05,1023.79,1005.73
2026-01-18,955.0,1028.37,915.05,1023.79,1005.73
2026-01-19,955.0,1028.37,915.05,1023.79,1005.73
2026-01-20,955.0,1028.37,915.05,1023.79,985.26
2026-01-21,957.13,992.02,907.55,1021.12,996.63
2026-01-22,998.04,984.08,901.07,1026.89,1001.83
2026-01-23,1001.56,992.83,901.07,1037.41,1002.2
2026-01-24,986.71,1014.17,900.13,1030.17,1002.2
2026-01-25,986.71,1014.17,900.13,1030.17,1002.2
2026-01-26,986.71,1014.17,900.13,1030.17,1007.28
2026-01-27,981.71,968.29,902.89,1027.52,1011.3
2026-01-28,1001.64,973.19,904.21,1026.31,1013.68
